S.No.,Name,Email,District,Address,Phone,Medium
1772,Shri S.n.college Halena Weir Bharatpur,shrisncollage37@gmail.com,Bharatpur,"HALENA, NEAR WATER BOX, WEIR, NH 11, HALENA, HALENA, BHARATPUR, RAJASTHAN",9414375436,Both (Hindi & English)
1773,Dpm Pg College Sarsena,dpmpgcollege117@gmail.com,Bharatpur,"VPO HALENA ROAD SARSENA , SARSENA, SARSENA, , SARSAINA, SARSAINA, BHARATPUR, RAJASTHAN",8426862410,Both (Hindi & English)
1774,Shri Rangey Raghav P.g.college Weir,kulman238@gmail.com,Bharatpur,"NO, BHARATPUR GATE , GALI NO.1 , NO, WARD NO- 17, , BHARATPUR, RAJASTHAN",8003113715,Both (Hindi & English)
1775,"M. G. College, Weir ( Bharatpur)",mgcollegeweir@gmail.com,Bharatpur,", BAYANA  ROAD , WEIR  , WEIR, , WARD NO- 10, , BHARATPUR, RAJASTHAN",9024593365,Both (Hindi & English)
1776,"Shri Krishna Mahavidhyalaya, Jaluki",skmjaluki@gmail.com,Bharatpur,", LAXMANGARH ROAD, JALUKI, JALUKI, JALUKI, JALOOKI, JALOOKI, BHARATPUR, RAJASTHAN",9587005321,Both (Hindi & English)
1777,Shri Brijendra Memorial Digree College,singhvijay1924@gmail.com,Bharatpur,", DHOLPUR ROAD, RUPBAS, RUPBAS, , , , BHARATPUR, RAJASTHAN",9772394924,Both (Hindi & English)
1778,Shri Banke Bihari College Nagar Bharatpur,bankecollege2008@gmail.com,Bharatpur,", NADABAI ROAD NAGAR , NAGAR, HOLI GATE KE PAAS NAGAR, WARD NO- 21, , BHARATPUR, RAJASTHAN",9929797995,Both (Hindi & English)
1779,Radha Swami P.g. College,sharma.lokesh1916@gmail.com,Bharatpur,", KHERLI ROAD , NAGAR, IN FRONT OFF 332 KVVS, WARD NO- 6, , BHARATPUR, RAJASTHAN",9783832323,Both (Hindi & English)
1780,"Utkarsh Mahavidhayala, Weir",utkarshcollege172@gmail.com,Bharatpur,"NO, BHUSAWAR ROAD , NAGARA PALIKA WEIR , PATROL PUMP KE SAMNE WEIR, WARD NO- 3, , BHARATPUR, RAJASTHAN",9571256661,Both (Hindi & English)
1781,Shri R.r. College Weir,singhkulman321401@gmail.com,Bharatpur,"2, HALENA ROAD WEIR , WEIR , NEAR BABDIWALE HANUMAN G MANDIR , WARD NO- 17, , BHARATPUR, RAJASTHAN",8003113715,Both (Hindi & English)
1782,"Shiv Shakti College, Akhaigarh Nadbai, Bharatpur",shivshakticollege0405@gmail.com,Bharatpur,"VILLAGE AKHAIGARH, POST AKHAIGARH, TEHSIL NADBAI, , AKHAIGARH, BEEKROO, BHARATPUR, RAJASTHAN",9013280442,Both (Hindi & English)
1783,Shri Bal Vikas T.t. College. Alwar Road. Nagar (bharatpur),dineshchandlekhi@gmail.com,Bharatpur,"SHRI BAL VIKAS T.T. COLLEGE , ALWAR ROAD, NAGAR BHARATPUR, NAGAR, WARD NO- 5, , BHARATPUR, RAJASTHAN",9413436991,Both (Hindi & English)
1784,Baba Bhoopsingh Mahila Degree College Lakhanpur,gslivariya@gmail.com,Bharatpur,"LAKHANPUR, VILLAGE AND POST LAKHANPUR, NADBAI, , LAKHANPUR, LAKHANPUR, BHARATPUR, RAJASTHAN",9982774250,Both (Hindi & English)
1785,Shree Radhey P.g. College Nadbai,mratunjaysharma150@gmail.com,Bharatpur,"RAGHU VIHAR KHERLI ROAD NADBAI, NADBAI, NADBAI, , , , BHARATPUR, RAJASTHAN",9024122904,Both (Hindi & English)
1786,Smt.puniya Devi Girls Collage,p.s.dhaked111@gmail.com,Bharatpur,"18, WEIR ROAD HALENA , VPO-HALENA , NO, HALENA, HALENA, BHARATPUR, RAJASTHAN",9828852168,Both (Hindi & English)
1787,Kala Bharti Girls Pg College,sumransingh11@gmail.com,Bharatpur,"WARE HOUSE ROAD, WARE HOUSE ROAD, NADBAI, , , , BHARATPUR, RAJASTHAN",9414711417,Both (Hindi & English)
1788,Chaudhary Goli Singh College Bhosinga,k9414024030@gmail.com,Bharatpur,"NA, HALENA ROAD NADBAI , NADBAI , PETROL PUMP KE PASS , JHARKAI, BHAUSINGA, BHARATPUR, RAJASTHAN",9413057632,Both (Hindi & English)
1789,T.p.s College Halena,bantuhalena@gmail.com,Bharatpur,"NO, N.H.11, HALENA , NEAR GOVT.SEC.SR. SCHOOL HALENA , HALENA, HALENA, BHARATPUR, RAJASTHAN",9785235657,Both (Hindi & English)
1790,Dpm B Ed College Sarsena,dpmbedcollege@gmail.com,Bharatpur,"VPO HALENA ROAD SARSENA, HALENA ROAD, HALENA, , SARSAINA, SARSAINA, BHARATPUR, RAJASTHAN",8426862410,Both (Hindi & English)
1791,Sanskar College,sanskarclgnadbai@gmail.com,Bharatpur,", PIPRAU ROAD NADBAI, NADBAI, PIPRAU ROAD , WARD NO- 6, , BHARATPUR, RAJASTHAN",9785853976,Both (Hindi & English)
1792,Shree Radhe Teachers Training College Nadbai (bharatpur),srttcollegenbi@gmail.com,Bharatpur,"RAGHU VIHAR KHERLI ROAD NADBAI, RAGHU VIHAR KHERLI ROAD-NADBAI (BHARATPUR) RAJ., NADBAI (BHARATPUR), KHERLI ROAD NADBAI, WARD NO- 4, , BHARATPUR, RAJASTHAN",9414711408,Both (Hindi & English)
1793,Bharti Tt College Nadbai,bhartitt2007@gmail.com,Bharatpur,", WARE HOUSE ROAD, NADBAI, NADBAI, , , BHARATPUR, RAJASTHAN",9799937777,Both (Hindi & English)
1794,Satish Chand Sharma,tpseducationgroup.nadbai@gmail.com,Bharatpur,"1644, KUMHER ROAD NADBAI, KUMHER ROAD NADBAI , KUMHER ROAD NADBAI, NONE, , BHARATPUR, RAJASTHAN",9785620319,Both (Hindi & English)
1795,Adarsh Tagore Prem Subhadra College Nadbai,tagorecollegenadbai@gmail.com,Bharatpur,", INFRONT OF 132 KV GSS KUMHER ROAD NADBAI , NADBAI , NADBAI , WARD NO- 3, , BHARATPUR, RAJASTHAN",9785620319,Both (Hindi & English)
1796,Chaudhary Kanya College Hantra,chaudharyschool6@gmail.com,Bharatpur,"NO, WEIR ROAD HANTRA , NADBAI , NEAR N.H. 11, HANTRA, HANTRA, BHARATPUR, RAJASTHAN",8058221780,Both (Hindi & English)
1797,Pt. Uma Dutt Girls P.g. College Dholpur,dhpmscdc@gmail.com,Dhaulpur,", UMA NAGAR G T ROD , DHOLPUR, , WARD NO- 7, , DHAULPUR, RAJASTHAN",8696947411,Both (Hindi & English)
1798,Maharani Mahila Mahavidhayalay,kkguptadho@gmail.com,Dhaulpur,"0, OPP. THURMAL POWER PLANT NARPURA, DHOLPUR, NARPURA, WARD NO- 7, , DHAULPUR, RAJASTHAN",9414282791,Both (Hindi & English)
1799,"Shri Kanhaiyalal College Of Teachers Education, Maniyya (dholpur)",sklbeddholpur2006@gmail.com,Dhaulpur,", PHOOLPUR ROAD, MANIYA, NEAR STADIUM PHOOLPUR, HINOTA, PHOOLPUR, DHAULPUR, RAJASTHAN",9694729379,Both (Hindi & English)
1800,B.r. College Of Education,breg2007@gmail.com,Dhaulpur,"VILLAGE - SARKANKHERA , POST - DUBARA , , DUBARA, DUBARA, RAJASTHAN, DOOBRA, SARKAN KHERA, DHAULPUR, RAJASTHAN",9457201043,Both (Hindi & English)
1801,Vivekanand Kanya Mahavidhyalaya,vivekanandugoffice@gmail.com,Dhaulpur,"TALLIYA ROAD DHOLPUR, TALLIYA ROAD DHOLPUR, DHOLPUR, , WARD NO- 18, , DHAULPUR, RAJASTHAN",9024417086,Both (Hindi & English)
1802,"Ganeshi Lal Tiwari Tt College, Dholpur",gltiwari2015@gmail.com,Dhaulpur,"O, ONDELA ROAD, DHOLPUR, ONDELA ROAD, WARD NO- 1, , DHAULPUR, RAJASTHAN",9887964541,Both (Hindi & English)
1803,"V.k. Tyagi Teacher Training College Ghantaghar Road, Dholpur",vkttcdholpur@gmail.com,Dhaulpur,"GHANTAGHAR ROAD, DHOLPUR, GHANTAGHAR, DHOLPUR, , WARD NO- 10, , DHAULPUR, RAJASTHAN",9610462489,Both (Hindi & English)
1804,Vivekanand Mahila Shikshak Prakishan Mahaviyalaya Dholpur,vivekanandbedoffice@gmail.com,Dhaulpur,"TALLIYA ROAD DHOLPUR, DHOLPUR, DHOLPUR, , WARD NO- 18, , DHAULPUR, RAJASTHAN",9414585075,Both (Hindi & English)
1805,Rishi Galav T.t. College Dholpur,rishigalav95@gmail.com,Dhaulpur,", BEHIND MIDWAY HOTEL G.T. ROAD DHOLPUR , DHOLPUR , , WARD NO- 1, , DHAULPUR, RAJASTHAN",9352128254,Both (Hindi & English)
1806,"Kamla Shikshak Prashikshan Mahavidhyalaya, Dholpur (raj.)",kamlacollege1@gmail.com,Dhaulpur,", G.T. ROAD, GIRRAJ COLONY, NERA CHHOTI RAILWAY LINE, , , DHAULPUR, RAJASTHAN",9548940507,Both (Hindi & English)
1807,Prakash Shikshak Prashikshan Mahavidhyalaya,prakashcollege1980@gmail.com,Dhaulpur,"ONDELA ROAD, NEAR RESIDENCE OF RAJ. COMMANDAND, DHOLPUR, ONDELA ROAD, WARD NO- 1, , DHAULPUR, RAJASTHAN",9460926622,Both (Hindi & English)
1808,Dholpur Mhavidyalaya,dholpurmhavidyalya@gmail.com,Dhaulpur,", BARI ROAD, DHOLPUR, , WARD NO- 4, , DHAULPUR, RAJASTHAN",8946916755,Both (Hindi & English)
1809,Vardhman Teacher Training College,hemantjain.jain@gmail.com,Dhaulpur,", A.B.ROAD, MANIA, NH-3, MANIYAN, MANIYAN, DHAULPUR, RAJASTHAN",9414945719,Both (Hindi & English)
1810,Mahalaxmi College Jheel.bayana,mlmjheel188@gmail.com,Bharatpur,"NO, BAYANA - BHARATPUR ROAD JHEEL , JHEEL , JHEEL , LAHCHORA KALAN, NAGLA MEDSINGH, BHARATPUR, RAJASTHAN",9784850522,Both (Hindi & English)
1811,Laxmi Teacher Training College,rpusharma@gmail.com,Bharatpur,"00, HINDAUN ROAD MALIPURA SHERGARH BAYANA , BAYANA, BAYANA, , , BHARATPUR, RAJASTHAN",9602364151,Both (Hindi & English)
1812,Maa Kasturba Gandhi Mahila T T  College Bharatpur,mkgmcollege6@gmail.com,Bharatpur,", JAGHEENA ROAD, MATHURA ROAD, BHARTPUR, , , BHARATPUR, RAJASTHAN",7877763544,Both (Hindi & English)
1813,Maruti Nandan Elementary (bstc) Tt College  Bharatpur,marutieducation07@gmail.com,Bharatpur,"Nagla chandwari Road, Pusp Watika colony, WARD NO-39, , BHARATPUR, RAJASTHAN",9461841248,Both (Hindi & English)
1814,"Chaudhary Jagan Singh Educational Institute, Tuhiya, Bharatpur, Raj",cjscollegebharatpur@gmail.com,Bharatpur,"BUILDING , MATHURA -BHARATPUR ROAD, TUHIYA, SANT SHYAM SUNDAR DAS TRUST, WARD NO- 1, , BHARATPUR, RAJASTHAN",9772799795,Both (Hindi & English)
1815,Maruti Nandan Tt College Bharatpur,kamalksingh88@gmail.com,Bharatpur,"Nagla Chandwari Road, Near Pusp Vatika colony, WARD NO-39, BHARATPUR, RAJASTHAN",9461841248,Both (Hindi & English)
1816,Mother Teresa Mahila Tt College Bharatpur,mtmttcollege@gmail.com,Bharatpur,"PLOT NO. 93-94, RIICO  INDUSTRIAL AREA, BHARATPUR, BHARATPUR, , , BHARATPUR, RAJASTHAN",9414208298,Both (Hindi & English)
1817,Khandelwal Teahcer's Training College,iammanish1985@gmail.com,Bharatpur,", JAGHINA ROAD, OLD INDUSTRIAL AREA, , , , BHARATPUR, RAJASTHAN",9782610939,Both (Hindi & English)
1818,Shri Bankey Bihari College Rajakhera,shribankey2006@gmail.com,Dhaulpur,"DR COLONY RAJAKHERA , BIJILI GHAR ROAD , RAJAKHERA, , WARD NO- 25, , DHAULPUR, RAJASTHAN",9983768805,Both (Hindi & English)
1819,"Kamla Pg College, Dholpur (raj.)",kamlapgcollege@gmail.com,Dhaulpur,", G.T. ROAD, GIRRAJ COLONY, NEAR NARROW GAUGE, DHOLPUR, , , , DHAULPUR, RAJASTHAN",9460269675,Both (Hindi & English)
1820,Shree Baba Peetam Giri Mahavidhalay-marena,sbpgmarena@gmail.com,Dhaulpur,"MARENA, MARENA, MARENA, MARENA, MARENA, MARENA, DHAULPUR, RAJASTHAN",9783073165,Both (Hindi & English)
1821,"Dept. Of Computer Science, M. D. S. University",mdsudcs@gmail.com,Ajmer,"ARYBHATT BHAWAN, MDS UNIVERSITY CAMPUS, PUSHKAR BYE PASS, GHOOGHRA, , , , AJMER, RAJASTHAN",9460527062,Both (Hindi & English)
1822,Dayanand  College Ajmer,principalanoopkumar@gmail.com,Ajmer,"DAYANAND COLLEGE, BEAWAR ROAD , RAMGANJ AJMER , , WARD NO- 29, , AJMER, RAJASTHAN",9887073292,Both (Hindi & English)
1823,Vidhya Professional & Technical College,vidyacollege1996@gmail.com,Bhilwara,"TELIKHERA TIRAHA, GRAM PALDI, DISTRICT BHILWARA, TELIKHERA TIRAHA, GRAM PALDI,  DISTRICT BHILWARA, GRAM PALDI, TELIKHERA TIRAHA, PALRI, PALRI, BHILWARA, RAJASTHAN",9413823729,Both (Hindi & English)
1824,Sita Devi Mahavidyalaya,dltotla@gmail.com,Bhilwara,"NEAR WATER TANK SINDHU NAGAR BHILWARA, SINDHU NAGAR, SINDHUNAGAR, , , , BHILWARA, RAJASTHAN",9024243111,Both (Hindi & English)
1825,"Naveen Vidyapeeth T.t. College, Nimbi Jodha",bsrnimbi@gmail.com,Nagaur,"NIMBI JODHA, NIMBI JODHA , NIMBI JODHA, , NIMBI JODHAN, NIMBI JODHAN, NAGAUR, RAJASTHAN",9799656428,Both (Hindi & English)
1826,Sethi College,sethicollegetonk@gmail.com,Tonk,"MARATHA COLONY, CHHAWANI, TONK, TONK, WARD NO- 34, , TONK, RAJASTHAN",9214015958,Both (Hindi & English)
1827,Pannadhay College Tonk,gctonk2017@gmail.com,Tonk,", PANNADHAY MARG, SHEETAL HOTAL, NH-12 , TONK, PANNADHAY MARG, NH-12, WARD NO- 29, , TONK, RAJASTHAN",9261035185,Both (Hindi & English)
1828,Nehru Pg College Tonk,mahurmanoj55@gmail.com,Tonk,"OPP. STADIUM, KRISHI MANDI ROAD, BEHUND KRISHI MANDI, STADIUM, WARD NO- 31, , TONK, RAJASTHAN",9001062957,Both (Hindi & English)
1829,Pannadhay Mahila Shikshak Prashikshan Mahavidhalaya Tonk,sdstonk2017@gmail.com,Tonk,", PANNADHAY MARG, SHEETAL HOTAL, NH-12 , TONK, PANNADHAY MARG, NH-12, WARD NO- 29, , TONK, RAJASTHAN",9269125604,Both (Hindi & English)
1830,Tagore Mahavidayala,tagorecollege8@gmail.com,Tonk,", CIRCUIT HOUSE CIVIL LINE, CIVIL LINE, , , , TONK, RAJASTHAN",9660326466,Both (Hindi & English)
1831,"Saint Soldier Mahila Mahavidyalaya, Tonk",saintsoldierpgcollegetonk@gmail.com,Tonk,", TAL KATORA CHORAHA, CIVIES LINE CHORAHA, , , , TONK, RAJASTHAN",8741035517,Both (Hindi & English)
1832,"Govt. P.g. Law College,bhilwara(rajasthan)",govtlawcollegebhilwara@gmail.com,Bhilwara,"GOVT. P.G. LAW COLLEGE,BHILWARA KOTA ROAD BEHIND CENTRAL SCHOOL,BHILWARA, KOTA ROAD, BHILWARA-311001, KOTA ROAD,BHILWARA-311001, NEAR CENTRAL SCHOO;,BHILWARA-311001, WARD NO-44, , BHILWARA, RAJASTHAN",9413052346,Both (Hindi & English)
1833,Smt. Sushila Devi Mathur Kanya Mahavidyalaya,sdmcollegebhl@gmail.com,Bhilwara,", KESHAV HOSPITAL ROAD , VIJAY SINGH PATHIK NAGAR , , , , BHILWARA, RAJASTHAN",9413881497,Both (Hindi & English)
1834,Kanchan Devi College Of Computer Science,kdccbhl@gmail.com,Bhilwara,"KANCHAN VIHAR, PANSAL ROAD, JAWAHAR NAGAR, GREEN VALLY SCHOOL, WARD NO-55, , BHILWARA, RAJASTHAN",9784964486,Both (Hindi & English)
1835,Swift College,manishaverma.bhl@gmail.com,Bhilwara,"F-496, HARNI MAHADEV ROAD, BHILWARA, RAHASTHAN, , , BHILWARA, RAJASTHAN",7822876427,Both (Hindi & English)
1836,Maharshi Gautam College,maharshigautamcollege@gmail.com,Bhilwara,", SHIVAJI PARK ROAD , OPP. KRISHI UPAJ MANDI, TEARNTAL ROAD, , , BHILWARA, RAJASTHAN",9829268114,Both (Hindi & English)
1837,"Maharana Pratap P.g.college, Uniara, Tonk",mahendrasony0205@gmail.com,Tonk,", JAIN NASIYAN ROAD BUS STAND KE PICHE, UNIARA, JAIN NASIYAN ROAD, WARD NO- 1, , TONK, RAJASTHAN",9950612167,Both (Hindi & English)
1838,Acharya Shri Tulsi Amrit College,astcollegegpr@gmail.com,Bhilwara,", NH 758 KE PASS, LAKHOLA CHORAH, , WARD NO- 19, , BHILWARA, RAJASTHAN",9982490500,Both (Hindi & English)
1839,Veerteja Mahila Mahavidhalaya Marwar Mundwa,ishwar.honey@gmail.com,Nagaur,"VEERTEJA MAHILA MAHAVIDHLYA MARWAR MUNDWA NAGAUR, KHAJWANA ROAD, TEJASTHALI, TEJASTHALI, KHAJWANA, KHAJWANA, NAGAUR, RAJASTHAN",9828108786,Both (Hindi & English)
1840,Sophia Girls College,sophiagirlscollege@gmail.com,Ajmer,"JAIPUR ROAD, MIRSHALI, JAIPUR ROAD, MIRSHALI, , , AJMER, RAJASTHAN",9414556385,Both (Hindi & English)
1841,"Star Infotech College, Ajmer",amangoyal01@yahoo.com,Ajmer,"K-101, ANASAGAR LINK ROAD, GAURAV PATH, AJMER, RAJASTHAN",9829577606,Both (Hindi & English)
1842,Dezyne Ecole College,decoleskill@gmail.com,Ajmer,"106/10, AJMER HOSPITAL LANE, CIVIL LINES, MANGAL BHAWAN, WARD NO-42, , AJMER, RAJASTHAN",8233084839,Both (Hindi & English)
1843,Department Of Population Studies,drlaxmithakur@gmail.com,Ajmer,"DEPARTMENT OF POPULATION STUDIES, UNIVERSITY CAMPUS, MAHARSHI DAYANAND SARASWATI UNIVERSITY, RAJASTHAN, , , AJMER, RAJASTHAN",9414066488,Both (Hindi & English)
1844,Department Of Education,ashwinimdsu@gmail.com,Ajmer,"FIRST FLOOR, VALMIKI BHAWAN, MDS UNIVERSITY CAMPUS, PUSHKAR BYE PASS, , , AJMER, RAJASTHAN",9414006113,Both (Hindi & English)
1845,Iase Ajmer,mohits.soni351@gmail.com,Ajmer,"IASE AJMER , JAIPUR ROAD, JAIPUR ROAD, MIRSHALI JAIPUR ROAD, WARD NO-46, , AJMER, RAJASTHAN",9214801293,Both (Hindi & English)
1846,Rajiv Gandhi Vidhi Mahavidhyalaya Tonk,rgvmtonk@gmail.com,Tonk,", MODI KI CHOKI , CIVIL LINE TONK, , , , TONK, RAJASTHAN",9414233050,Both (Hindi & English)
1847,Noble College,noblecollege.tonk@gmail.com,Tonk,"COLLEGE CAMPUS, SUBHASH BAZAR, TONK, , WARD NO- 10, , TONK, RAJASTHAN",9414257677,Both (Hindi & English)
1848,"Saint Soldier Mahila T.t. College, Tonk",ssmttctnk03@gmail.com,Tonk,", TAL KATORA CHORAHA, CIVIL LINES ROAD, , , , TONK, RAJASTHAN",9461626415,Both (Hindi & English)
1849,Dr. Ambedkar  College Tonk,drambedkarcollegetonk@gmail.com,Tonk,"PANCHKUIYA DARWAJA , PURANI TONK , TONK, , , , TONK, RAJASTHAN",9252753141,Both (Hindi & English)
1850,Eklavya Teacher Training College,jitendranayak1274@gmail.com,Tonk,"NEAR TEAGOR SCHOOL, CIVILLINE , NEAR CIRCUIT HOUSE, CRICUIT HOUSE, WARD NO- 7, , TONK, RAJASTHAN",8104073372,Both (Hindi & English)
1851,Motherland Carrier College Tonk,monasharmatonk@gmail.com,Tonk,", PANCH KUIYA DARWAZA , PURANI TONK, PURANI TONK, WARD NO-44, , TONK, RAJASTHAN",7014298829,Both (Hindi & English)
1852,Dev Shikshak Prashikshan Mahavidyalaya Tonk,dspmtonk@gmail.com,Tonk,", MODI KI CHOKI, CIVIL LINE TONK, , , , TONK, RAJASTHAN",8104511510,Both (Hindi & English)
1853,Dr. Ambedkar B.ed. College Tonk,drambedkarttcollegetonk@gmail.com,Tonk,"PANCHKUIYA DARWAJA , PURANI TONK , TONK,  TONK , , , TONK, RAJASTHAN",9875213020,Both (Hindi & English)
1854,Pandit J.p. Upadhayay T.t. College Tonk (raj.),pjputtct@gmail.com,Tonk,", CIVIL LINE ROAD, TAL KATORA CHOURAHA TONK, , WARD NO- 3, , TONK, RAJASTHAN",8104260926,Both (Hindi & English)
1855,Abhighyan Mahavidayala,abhighyancollege100@gmail.com,Tonk,", JAIL ROAD, TONK, JAIL ROAD , WARD NO- 3, , TONK, RAJASTHAN",9214528601,Both (Hindi & English)
1856,Smt. Narayani Devi Verma Women Phsyical Teacher Training College,sndvwpec.mab@gmail.com,Bhilwara,", VIJAY SINGH PATHIK NAGAR MAHILA ASHRAM , VIJAY SINGH PATHIK NAGAR, , , , BHILWARA, RAJASTHAN",9460202101,Both (Hindi & English)
1857,"S.k.greenwood Shikshak Prashikshan Mahavidyalya ,shekabasani,didwana",skgreenwood786@gmail.com,Nagaur,"SHEKHABASANI,DIDWANA, KUCHAMAN ROAD,SHEKHABASANI,DIDWANA, DIDWANA, , DAULATPURA, SHEKHA BASNI, NAGAUR, RAJASTHAN",9983484840,Both (Hindi & English)
1858,Mahadev B.ed. College,mahadevbedcollege@gmail.com,Nagaur,", BANTHRY ROAD CHHOTI KHATU, RURAL, , KHATU KHURD, KHATU KHURD, NAGAUR, RAJASTHAN",9413679773,Both (Hindi & English)
1859,S.tech Girls  College,stechscholargirl@gmail.com,Bhilwara,"2395/7, NH 79, PANSAL , PANSAL, NONE, , BHILWARA, RAJASTHAN",9414056997,Both (Hindi & English)
1860,Dev Kanya P.g. College,devkanyapg2016@gmail.com,Tonk,", CISF LINK ROAD, PATEL NAGAR, LAL BANGALOW, WARD NO- 16, , TONK, RAJASTHAN",9414744985,Both (Hindi & English)
1861,"Star Infotech College, Tonk",stardeoli@gmail.com,Tonk,"WARD NO 8, WARD NO 8, NEAR AGRAWAL DHARMSHALA, WARD NO- 8, TONK, RAJASTHAN",7300160808,Both (Hindi & English)
1862,Adarsh Teachers Training College,mohitagrawal40@gmail.com,Tonk,"CHURCH ROAD, NEAR CISF GATE, DEOLI, , WARD NO- 1, , TONK, RAJASTHAN",9414259873,Both (Hindi & English)
1863,Manav Dharam Menatlly Retarded Teacher's Trainig Center,ramphoolbairwa80@gmail.com,Tonk,"NEAR PANWAR ROAD, NH-12 KE PASS, PANWAR DEOLI, PANWAR ROAD, PANWAR, PANWAR, TONK, RAJASTHAN",7688834160,Both (Hindi & English)
1864,Ravindra Nath Tagore Shikshan Sansthan,rtsskhatu@gmail.com,Nagaur,", KUCHAMAN ROAD, CHHOTI KHATU, CHHOTI KHATU, KHATU KHURD, KHATU KHURD, NAGAUR, RAJASTHAN",9413984081,Both (Hindi & English)
1865,"Chhoti Devi Memorial Girl's B.ed College,didwana (b.a. B.ed,b.sc.b.ed)",cdmdidwana4@gmail.com,Nagaur,", LADNUN ROAD, DIDWANA, , , , NAGAUR, RAJASTHAN",7597645711,Both (Hindi & English)
1866,Shri Sawai Teacher Training College,sscollegedid@gmail.com,Nagaur,"NEAR RAHMAN GATE, MEGHA HIGHWAY , DIDWANA, , , , NAGAUR, RAJASTHAN",9460273242,Both (Hindi & English)
1867,"Chhoti Devi Memorial Girl's B.ed College,didwana (b.ed)",cdmdidwana1@gmail.com,Nagaur,", LADNUN ROAD, DIDWANA, , , , NAGAUR, RAJASTHAN",7597645711,Both (Hindi & English)
1868,Gandhi Shikshak Mahavidyalaya Gulabpura-bhilwara,principal@gsmgulabpura.com,Bhilwara,"503, STITION ROAD GULABPURA , GULABPURA , STITION ROAD, WARD NO- 8, , BHILWARA, RAJASTHAN",9887371629,Both (Hindi & English)
1869,Shri Gandhi Kanya Mahavidyalaya Gulabpura-bhilwara,sgkmgulabpura@gmail.com,Bhilwara,"42, 22, GULABPURA, GULABPURA, WARD NO- 9, , BHILWARA, RAJASTHAN",9413403737,Both (Hindi & English)
1870,Mahatma Gandhi Mahavidyalaya,mgckhatu@gmail.com,Nagaur,", CHHOTI KHATU, DIDWANA, , KHATU KHURD, KHATU KHURD, NAGAUR, RAJASTHAN",9414270181,Both (Hindi & English)
1871,Tagore Mahavidhyalya Molasar,ramkumar.tagore@gmail.com,Nagaur,", NEAR MAILA MEDAN MOLASAR, NEAR MAILA MEDAN MOLASAR, , MOLASAR, MOLASAR, NAGAUR, RAJASTHAN",9414548277,Both (Hindi & English)
1872,"Rajeev Gandhi Mahavidhyalya, Maulasar",nemaram.alakhpura@gmail.com,Nagaur,"51, DIDWANA ROAD MAULASAR, MAULASAR, 132 GSS POWER HOUSE KE PASS, MOLASAR, MOLASAR, NAGAUR, RAJASTHAN",8094989997,Both (Hindi & English)
1873,"Dayanand Arya Balika Mahavidhyalya, Beawar",peeyush720@gmail.com,Ajmer,"ARYA SAMAJ CHOURAHA, PALI BAZAR, BEAWAR, , WARD NO- 15, , AJMER, RAJASTHAN",9413800886,Both (Hindi & English)
1874,Shri Vardhman Kanya Mahavidyalaya  Beawar,vardhmancollegebwr@gmail.com,Ajmer,", OUT SIDE NEHRU GATE NEAR KRISHNA COLONY BEAWAR, BEAWAR, BEAWAR, WARD NO- 22, , AJMER, RAJASTHAN",9001716551,Both (Hindi & English)
1875,Aryabhatta International College Of Technical Education Ajmer,scholarships.aryabhatta@gmail.com,Ajmer,"HUSBAND SCHOOL CAMPUS, MEDICAL COLLEGE ROAD, NR PATEL STADIUM, , WARD NO-50, , AJMER, RAJASTHAN",9828072582,Both (Hindi & English)
1876,"R.v.v.s.p. Shramjivi College, Ajmer",singh13simer@gmail.com,Ajmer,", ANNA SAGAR CIRCULAR ROAD , AJMER, BEHIND PETROL PUMP, VAISHALI NAGAR, WARD NO-55, , AJMER, RAJASTHAN",9887019697,Both (Hindi & English)
1877,"Satguru Teacher Training College, Lamba-kotra, Nawa, Nagaur (raj.)",satguruttc@gmail.com,Nagaur,"DANTA KUCHAMAN ROAD, LAMBA-KOTRA, JIJOT, NEAR  BUS STAND, JEEJOT, LAMBA, NAGAUR, RAJASTHAN",9694336265,Both (Hindi & English)
1878,Shaheed Bhagat Singh College Nawa City,sbscollege2005@gmail.com,Nagaur,"SIKAR ROAD , WARD NO-20 , NAWA CITY , NEAR RAILWAY PULIYA, WARD NO- 20, , NAGAUR, RAJASTHAN",8503031552,Both (Hindi & English)
1879,Shaheed Bhagat Singh T.t.college Nawa City,sbsbedcollege2008@gmail.com,Nagaur,"SIKAR ROAD , WARD NO-20 , NAWA CITY , NEAR RAILWAY PULIYA, WARD NO- 20, , NAGAUR, RAJASTHAN",9610542341,Both (Hindi & English)
1880,Eminent Academic Girls College,egcsoda@gmail.com,Tonk,"JAIPUR ROAD DIGGI, MALPURA TONK RAJASRHAN, JAIPUR ROAD DIGGI, MALPURA TONK RAJASRHAN, MALPURA, , SODA, SODA, TONK, RAJASTHAN",9413802930,Both (Hindi & English)
1881,Shri Ratanlal Kanwarlal Patni Girls College,scholarship@rkgirlscollege.edu.in,Ajmer,", AJMER ROAD, MADANGANJ-KISHANGARH, AJMER ROAD, WARD NO- 21, , AJMER, RAJASTHAN",9414620373,Both (Hindi & English)
1882,Haribhau Upadhyaya Teachers College For Women Hatundi Ajmer,mukeshmali8891@gmail.com,Ajmer,"-, HATUNDI ROAD, -, NEAR HATUNDI RAILWAY STATION, HATOONDI, HATOONDI, AJMER, RAJASTHAN",8233319021,Both (Hindi & English)
